шаг|вышли из лабиринта?|слева есть стена?|действие|можно шагнуть вперед?|действие
1	 |нет	               |да	             |направо	|да	                  |шаг вперед
2	 |нет	               |нет	             |налево	|да	                  |шаг вперед
3	 |нет	               |нет	             |налево	|да	                  |шаг вперед
4	 |нет	               |нет	             |налево	|да	                  |шаг вперед
5	 |нет	               |да	             |направо	|да	                  |шаг вперед
6	 |нет                |да	             |направо	|да	                  |шаг вперед
7	 |нет	               |да	             |направо	|да	                  |шаг вперед
8	 |нет	               |нет	             |налево	|да	                  |шаг вперед
9	 |нет	               |да	             |направо	|да	                  |шаг вперед
10 |нет	               |нет	             |налево	|да	                  |шаг вперед
11 |нет	               |нет	             |налево	|да	                  |шаг вперед
12 |нет	               |нет	             |налево	|да	                  |шаг вперед
13 |нет	               |да	             |направо	|да	                  |шаг вперед
14 |нет	               |нет	             |налево	|да	                  |шаг вперед
15 |нет	               |да	             |направо	|да	                  |шаг вперед
16 |нет	               |нет	             |налево	|да	                  |шаг вперед
17 |нет	               |да	             |направо	|да	                  |шаг вперед
18 |нет	               |да	             |направо	|да	                  |шаг вперед
19 |нет	               |да	             |направо	|да	                  |шаг вперед
